name,age,email,phone,date,JobRole
Muriel,43,murieldelaney@plasmos.com,+443305301938,11/01/2017,admin
Vanessa,42,vanessadelaney@plasmos.com,+443305301938,06/07/2017,admin
Meredith,54,meredithdelaney@plasmos.com,+443305301938,31/01/2018,admin
Lynn,50,lynndelaney@plasmos.com,+443305301938,11/01/2017,manager
Savage,63,savagedelaney@plasmos.com,+443305301938,31/01/2018,admin
Erika,29,erikadelaney@plasmos.com,+443305301938,11/01/2017,admin
Elliott,72,elliottdelaney@plasmos.com,+443305301938,06/07/2017,admin
Chelsea,55,chelseadelaney@plasmos.com,+443305301938,31/01/2018,manager
Newman,65,newmandelaney@plasmos.com,+443305301938,06/07/2017,admin
Nixon,66,nixondelaney@plasmos.com,+443305301938,31/01/2018,admin
Bass,34,bassdelaney@plasmos.com,+443305301938,30/04/2018,manager
Madeline,58,madelinedelaney@plasmos.com,+443305301938,30/04/2018,admin
Aurora,24,auroradelaney@plasmos.com,+443305301938,02/01/2018,admin
Darcy,23,darcydelaney@plasmos.com,+443305301938,11/01/2017,admin
Walls,48,wallsdelaney@plasmos.com,+443305301938,02/01/2018,admin
Barr,58,barrdelaney@plasmos.com,+443305301938,31/01/2018,admin
Manning,76,manningdelaney@plasmos.com,+443305301938,30/04/2018,admin
Ellis,77,ellisdelaney@plasmos.com,+443305301938,02/01/2018,manager
Waller,70,wallerdelaney@plasmos.com,+443305301938,06/07/2017,admin
Hickman,32,hickmandelaney@plasmos.com,+443305301938,11/01/2017,manager
Sullivan,25,sullivandelaney@plasmos.com,+443305301938,06/07/2017,manager
Cervantes,46,cervantesdelaney@plasmos.com,+443305301938,31/01/2018,manager
Carissa,55,carissadelaney@plasmos.com,+443305301938,02/01/2018,admin
Paul,52,pauldelaney@plasmos.com,+443305301938,30/04/2018,admin
Natalie,74,nataliedelaney@plasmos.com,+443305301938,30/04/2018,manager
Juliana,39,julianadelaney@plasmos.com,+443305301938,30/04/2018,admin
Cherie,37,cheriedelaney@plasmos.com,+443305301938,30/04/2018,manager
Gena,25,genadelaney@plasmos.com,+443305301938,06/07/2017,manager
Carla,28,carladelaney@plasmos.com,+443305301938,30/04/2018,admin
Jacklyn,30,jacklyndelaney@plasmos.com,+443305301938,06/07/2017,admin
Parsons,26,parsonsdelaney@plasmos.com,+443305301938,11/01/2017,manager
Lori,53,loridelaney@plasmos.com,+443305301938,31/01/2018,manager
Jensen,33,jensendelaney@plasmos.com,+443305301938,30/04/2018,manager
Hurley,69,hurleydelaney@plasmos.com,+443305301938,31/01/2018,manager
Watson,50,watsondelaney@plasmos.com,+443305301938,31/01/2018,manager
Malone,28,malonedelaney@plasmos.com,+443305301938,02/01/2018,manager
Minerva,22,minervadelaney@plasmos.com,+443305301938,02/01/2018,manager
Christine,45,christinedelaney@plasmos.com,+443305301938,06/07/2017,manager
Evans,39,evansdelaney@plasmos.com,+443305301938,30/04/2018,admin
Benson,22,bensondelaney@plasmos.com,+443305301938,11/01/2017,admin
Chan,64,chandelaney@plasmos.com,+443305301938,30/04/2018,manager
Sargent,53,sargentdelaney@plasmos.com,+443305301938,11/01/2017,manager
Louella,70,louelladelaney@plasmos.com,+443305301938,11/01/2017,manager
Anthony,57,anthonydelaney@plasmos.com,+443305301938,06/07/2017,manager
Jewel,31,jeweldelaney@plasmos.com,+443305301938,11/01/2017,admin
Mcknight,43,mcknightdelaney@plasmos.com,+443305301938,06/07/2017,admin
Jordan,+44,jordandelaney@plasmos.com,+443305301938,30/04/2018,manager
Pansy,54,pansydelaney@plasmos.com,+443305301938,02/01/2018,manager
Tran,25,trandelaney@plasmos.com,+443305301938,30/04/2018,manager
Kristy,80,kristydelaney@plasmos.com,+443305301938,31/01/2018,manager
Alfreda,62,alfredadelaney@plasmos.com,+443305301938,02/01/2018,manager
Dorothy,64,dorothydelaney@plasmos.com,+443305301938,02/01/2018,admin
Olivia,75,oliviadelaney@plasmos.com,+443305301938,30/04/2018,manager
Carol,59,caroldelaney@plasmos.com,+443305301938,06/07/2017,manager
Blankenship,42,blankenshipdelaney@plasmos.com,+443305301938,06/07/2017,manager
Kate,64,katedelaney@plasmos.com,+443305301938,30/04/2018,admin
Catherine,47,catherinedelaney@plasmos.com,+443305301938,06/07/2017,admin
Leon,40,leondelaney@plasmos.com,+443305301938,02/01/2018,manager
Rosalind,49,rosalinddelaney@plasmos.com,+443305301938,06/07/2017,admin
Harrington,70,harringtondelaney@plasmos.com,+443305301938,11/01/2017,manager
Claudine,38,claudinedelaney@plasmos.com,+443305301938,02/01/2018,manager
Kennedy,36,kennedydelaney@plasmos.com,+443305301938,06/07/2017,manager
Rutledge,66,rutledgedelaney@plasmos.com,+443305301938,30/04/2018,manager
Carey,31,careydelaney@plasmos.com,+443305301938,30/04/2018,manager
Callahan,20,callahandelaney@plasmos.com,+443305301938,02/01/2018,admin
Kellie,42,kelliedelaney@plasmos.com,+443305301938,30/04/2018,admin
Flowers,42,flowersdelaney@plasmos.com,+443305301938,31/01/2018,admin
Oconnor,48,oconnordelaney@plasmos.com,+443305301938,31/01/2018,manager
Nolan,22,nolandelaney@plasmos.com,+443305301938,06/07/2017,manager
Murphy,31,murphydelaney@plasmos.com,+443305301938,02/01/2018,manager
Mindy,21,mindydelaney@plasmos.com,+443305301938,31/01/2018,admin
Patrice,22,patricedelaney@plasmos.com,+443305301938,31/01/2018,manager
Lena,67,lenadelaney@plasmos.com,+443305301938,02/01/2018,manager
Flynn,27,flynndelaney@plasmos.com,+443305301938,11/01/2017,admin
Natasha,63,natashadelaney@plasmos.com,+443305301938,06/07/2017,admin
Bethany,64,bethanydelaney@plasmos.com,+443305301938,02/01/2018,admin
